andaman & nicobar islands,andhra pradesh,arunachal pradesh,assam,bihar,chandigarh,chhattisgarh,dadra & nagar haveli and daman & diu,delhi,goa,gujarat,haryana,himachal pradesh,jammu & kashmir,jharkhand,karnataka,kerala,ladakh,lakshadweep,madhya pradesh,maharashtra,manipur,meghalaya,mizoram,nagaland,odisha,puducherry,punjab,rajasthan,sikkim,tamil nadu,telangana,tripura,uttar pradesh,uttarakhand,west bengal
3.061654049471475e7,2.853996392532851e7,2.4295407116913248e7,2.7837214026730783e7,2.9926501021117333e7,0.0,3.1118172368269384e7,3.1855794582898647e7,1.936374475608472e7,2.4869667176289704e7,2.8115346606091578e7,2.34636679580895e7,3.3299546462297592e7,2.8409297541764285e7,3.001472811051315e7,2.631165127098472e7,1.846025387925952e7,3.696079058069625e7,0.0,3.0504213151903097e7,2.842662236911532e7,2.0245160746942427e7,2.3177585757395614e7,1.975185763085194e7,2.517754325002656e7,3.1805794802394863e7,3.095790568305405e7,1.65527730689784e7,2.9198463167903632e7,3.733933468929518e7,3.013248968812422e7,3.3323678801628873e7,2.6118152382345688e7,2.5654680884971112e7,2.7185244864894968e7,3.411092292914381e7
8.969751354731016e6,7.699637071872948e6,7.322202607580701e6,7.774644737510769e6,8.041735059353787e6,0.0,8.160249250439562e6,8.877579043053612e6,5.699221980384323e6,7.710463458752224e6,7.398053499815184e6,6.891619229997858e6,9.014429358911863e6,8.13015514235729e6,7.894580085696588e6,8.359227048763559e6,7.561797969225063e6,8.39311118900018e6,3.4284172337772897e6,7.858600091395734e6,7.103955128840756e6,6.976683983553799e6,6.3820688599643605e6,7.216527288262409e6,6.337625662791379e6,8.833010157704772e6,9.190072109938286e6,6.779608469054081e6,7.199226430274525e6,8.201556885881021e6,8.350421580717778e6,8.688205530545076e6,7.865812607354074e6,7.17959390361931e6,6.861071293558524e6,9.05431902797152e6
3.4450808235777775e6,2.959464733267616e6,2.518535226389462e6,2.855488854105055e6,2.746443870213743e6,2.505177846546935e6,3.030218038173214e6,2.884362209670767e6,2.360499495642358e6,3.310521344391989e6,2.734125180340043e6,2.5926340496784e6,2.748980857392672e6,2.809815649261439e6,2.84861426239628e6,2.9074691372983903e6,2.855392734921328e6,2.50744849508895e6,2.347469564762595e6,2.7900822547822422e6,2.6126532549119517e6,2.723972086838779e6,2.229180021943266e6,2.6545468788870573e6,2.485044963309328e6,3.194199765231601e6,3.4961174673551843e6,2.353644843177075e6,2.7082448229638413e6,3.215994299019446e6,3.2550622263201564e6,2.980034916877816e6,2.9097214399446757e6,2.558327071089482e6,2.66512254229284e6,3.2823778508845097e6
1.886186445357282e6,1.8024514648084461e6,1.5478312022102538e6,1.710770928017544e6,1.681888708176682e6,1.1292637438115121e6,1.867341028081958e6,1.878718342454447e6,1.713577662523311e6,1.844712420291165e6,1.721023227771261e6,1.677558602610744e6,1.8889048779900922e6,1.744750126684621e6,1.730353661862491e6,1.8603873999593619e6,1.7591684509003109e6,1.725076901151582e6,1.575335086516904e6,1.800517055757988e6,1.727239791249869e6,1.648851703632947e6,1.254653570019931e6,1.439011897041551e6,1.452063633209178e6,1.939987490178932e6,1.685460560214839e6,1.6435871748805621e6,1.686044663364813e6,1.783372062879113e6,1.897101007220287e6,1.778957918797118e6,2.073182615938965e6,1.593389794491101e6,1.809781376811036e6,1.896067914452058e6
62831.368577789006,60685.407751205996,52739.269841356,60432.947568546,60754.299726603,62485.743869542,60550.199423321996,71877.98321104099,61518.126565987004,67211.434134523,62366.997689402,63632.279200343,77322.42418462099,63627.128227509,57261.523977994,68937.22637531799,62364.967083040996,73837.17425055301,66870.723583755,62459.380929057,61300.939859838,66945.387848122,54744.953808993,56639.686438733996,47270.627839918,74110.82469847701,80762.291424626,64184.01652817,63718.835826814,58754.549246169,71916.99400238499,62703.290098253,45001.039570529,58964.532670736,65424.41986948,64834.007932568
