andaman & nicobar islands,andhra pradesh,arunachal pradesh,assam,bihar,chandigarh,chhattisgarh,dadra & nagar haveli and daman & diu,delhi,goa,gujarat,haryana,himachal pradesh,jammu & kashmir,jharkhand,karnataka,kerala,ladakh,lakshadweep,madhya pradesh,maharashtra,manipur,meghalaya,mizoram,nagaland,odisha,puducherry,punjab,rajasthan,sikkim,tamil nadu,telangana,tripura,uttar pradesh,uttarakhand,west bengal
4.378165290744209e7,4.0812148413219765e7,3.4742432177185945e7,3.980721605822502e7,4.2794896460197784e7,0.0,4.449898648662522e7,4.555378625354506e7,2.769015500120115e7,3.556362406209427e7,4.0204945646710955e7,3.3553045180067986e7,4.7618351441085555e7,4.062529548472293e7,4.29210611980338e7,3.7625661317508146e7,2.6398163047341112e7,5.2853930530395634e7,0.0,4.362102480722143e7,4.065006998783491e7,2.895057986812767e7,3.314394763307573e7,2.824515641211827e7,3.600388684753798e7,4.5482286567424655e7,4.426980512676729e7,2.3670465488639113e7,4.175380233010219e7,5.33952486056921e7,4.3089460254017636e7,4.765286068632928e7,3.734895790675433e7,3.668619366550869e7,3.887490015679981e7,4.877861978867564e7
1.094309665277184e7,9.393557227684997e6,8.933087181248456e6,9.485066579763139e6,9.81091677241162e6,0.0,9.955504085536266e6,1.0830646432525406e7,6.953050816068875e6,9.406765419677714e6,9.025625269774524e6,8.407775460597387e6,1.0997603817872472e7,9.918789273675894e6,9.631387704549838e6,1.0198256999491543e7,9.225393522454577e6,1.023959565058022e7,4.182669025208294e6,9.587492111502796e6,8.666825257185722e6,8.511554459935635e6,7.7861240091565205e6,8.804163291680139e6,7.731903308605483e6,1.0776272392399823e7,1.121188797412471e7,8.271122332245979e6,8.78305624493492e6,1.0005899400774846e7,1.018751432847569e7,1.0599610747264994e7,9.59629138097197e6,8.759104562415559e6,8.370506978141399e6,1.1046269214125253e7
3.4450808235777775e6,2.959464733267616e6,2.518535226389462e6,2.855488854105055e6,2.746443870213743e6,2.505177846546935e6,3.030218038173214e6,2.884362209670767e6,2.360499495642358e6,3.310521344391989e6,2.734125180340043e6,2.5926340496784e6,2.748980857392672e6,2.809815649261439e6,2.84861426239628e6,2.9074691372983903e6,2.855392734921328e6,2.50744849508895e6,2.347469564762595e6,2.7900822547822422e6,2.6126532549119517e6,2.723972086838779e6,2.229180021943266e6,2.6545468788870573e6,2.485044963309328e6,3.194199765231601e6,3.4961174673551843e6,2.353644843177075e6,2.7082448229638413e6,3.215994299019446e6,3.2550622263201564e6,2.980034916877816e6,2.9097214399446757e6,2.558327071089482e6,2.66512254229284e6,3.2823778508845097e6
1.5089491562858257e6,1.441961171846757e6,1.2382649617682032e6,1.3686167424140354e6,1.3455109665413457e6,903410.9950492097,1.4938728224655665e6,1.5029746739635577e6,1.370862130018649e6,1.475769936232932e6,1.3768185822170088e6,1.3420468820885953e6,1.5111239023920738e6,1.3958001013476967e6,1.3842829294899928e6,1.4883099199674895e6,1.4073347607202488e6,1.3800615209212657e6,1.2602680692135233e6,1.4404136446063905e6,1.3817918329998953e6,1.3190813629063577e6,1.0037228560159449e6,1.151209517633241e6,1.1616509065673426e6,1.5519899921431455e6,1.3483684481718712e6,1.3148697399044498e6,1.3488357306918504e6,1.4266976503032905e6,1.5176808057762298e6,1.4231663350376943e6,1.6585460927511721e6,1.2747118355928808e6,1.4478251014488288e6,1.5168543315616467e6
37698.82114667341,36411.2446507236,31643.561904813603,36259.7685411276,36452.5798359618,37491.4463217252,36330.1196539932,43126.789926624595,36910.8759395922,40326.8604807138,37420.1986136412,38179.3675202058,46393.4545107726,38176.276936505405,34356.9143867964,41362.3358251908,37418.9802498246,44302.304550331806,40122.434150253,37475.628557434204,36780.5639159028,40167.2327088732,32846.9722853958,33983.8118632404,28362.376703950802,44466.494819086205,48457.374854775604,38510.409916902005,38231.3014960884,35252.729547701405,43150.196401431,37621.9740589518,27000.623742317403,35378.7196024416,39254.651921688004,38900.404759540805
