andaman & nicobar islands,andhra pradesh,arunachal pradesh,assam,bihar,chandigarh,chhattisgarh,dadra & nagar haveli and daman & diu,delhi,goa,gujarat,haryana,himachal pradesh,jammu & kashmir,jharkhand,karnataka,kerala,ladakh,lakshadweep,madhya pradesh,maharashtra,manipur,meghalaya,mizoram,nagaland,odisha,puducherry,punjab,rajasthan,sikkim,tamil nadu,telangana,tripura,uttar pradesh,uttarakhand,west bengal
511595.581503408,476896.448930448,405970.84879609203,465153.654440436,500065.17538791895,0.0,519977.73853046104,532303.2416645669,323563.86771663,415566.606653241,469801.18797537906,392072.672459316,556428.0144296429,474713.042725752,501539.430427008,439661.84012913,308466.73613207997,617606.589262467,0.0,509718.616590459,475002.536737155,338292.132866871,387292.302520164,330049.14752444404,420711.14736324,531467.756454006,517299.717869292,276593.1560811,487899.824801178,623931.977116029,503507.20019469596,556831.260452013,436428.516740727,428684.01111147297,454259.394766347,569985.934712832
242053.67752645598,207778.944494696,197593.66772456802,209803.067638392,217010.646987816,0.0,220208.81766801598,239566.356961448,153796.642162664,208071.1005038,199640.545802112,185974.138274544,243259.33806138398,219396.71159671998,213039.589025184,225578.343079112,204059.280438984,226492.72525423998,92517.72615671999,212068.649074512,191704.13938084,188269.657471432,172223.64106744798,194741.961065912,171024.316928872,238363.641058264,247999.15437684802,182951.46623640798,194275.0878902,221323.52694736002,225340.722677104,234456.00848956802,212263.282787632,193745.29335207999,185149.785395232,244335.78273742402
117568.53465224999,100996.15941200001,85948.78065275,97447.827056875,93726.503922875,85492.94009187499,103410.72174175,98433.17349087501,80555.57502475,112976.491213625,93306.110210375,88477.5138,93813.082404,95889.160644875,97213.221335,99221.73194875,97444.546846,85570.42936874999,80110.909149375,95215.72905025001,89160.699114,92959.62071237499,76074.10161825,90590.381677125,84805.875346,109006.843385125,119310.236438,80321.64975937501,92422.90431512501,109750.61444075,111083.86587950001,101698.14768699999,99298.5951445,87306.73685525,90951.292005,112016.05241374999
80274.073412142,76710.402391026,65874.036928674,72808.577012664,71579.380693542,48060.254539272,79472.032652298,79956.238957257,72928.028624841,78508.983359115,73244.90390129099,71395.096041864,80389.766991252,74254.695287451,73641.997175421,79176.093692622,74868.32371184099,73417.423895442,67044.572764824,76628.076015228,73509.474179739,70173.361190757,53396.711144061,61242.803938281,61798.271840118,82563.78821329199,71731.394887809,69949.308489822,71756.253691803,75898.403495103,80738.58546629701,75710.54225425799,88232.430000915,67812.961784331,77022.355589316,80694.61814539801
1954.0867268850002,1887.34628079,1640.21745054,1879.49464389,1889.488855395,1943.33762703,1883.14123473,2235.4409290649996,1913.244248955,2090.308938195,1939.64456193,1978.9954444950001,2404.765743765,1978.835246685,1780.86179721,2143.9819328699996,1939.581409065,2296.3727421450003,2079.712671075,1942.517726505,1906.48963467,2082.03476673,1702.595216745,1761.52234131,1470.1399718700002,2304.883406805,2511.74732109,1996.15474905,1981.6873985099999,1827.2956235850002,2236.6541840249997,1950.103422645,1399.554650985,1833.82621224,2034.7319082,2016.36980412
