andaman & nicobar islands,andhra pradesh,arunachal pradesh,assam,bihar,chandigarh,chhattisgarh,dadra & nagar haveli and daman & diu,delhi,goa,gujarat,haryana,himachal pradesh,jammu & kashmir,jharkhand,karnataka,kerala,ladakh,lakshadweep,madhya pradesh,maharashtra,manipur,meghalaya,mizoram,nagaland,odisha,puducherry,punjab,rajasthan,sikkim,tamil nadu,telangana,tripura,uttar pradesh,uttarakhand,west bengal
358116.90705238556,333827.5142513135,284179.5941572644,325607.55810830515,350045.6227715432,0.0,363984.4169713227,372612.26916519686,226494.70740164098,290896.62465726864,328860.83158276527,274450.87072152115,389499.61010075005,332299.12990802637,351077.60129890556,307763.28809039097,215926.71529245598,432324.6124837269,0.0,356803.0316133213,332501.77571600844,236804.4930068097,271104.61176411476,231034.40326711079,294497.803154268,372027.4295178041,362109.80250850436,193615.20925677,341529.87736082455,436752.3839812203,352455.04013628716,389781.8823164091,305499.96171850886,300078.80777803104,317981.5763364429,398990.15429898235
242053.67752645598,207778.944494696,197593.66772456802,209803.067638392,217010.646987816,0.0,220208.81766801598,239566.356961448,153796.642162664,208071.1005038,199640.545802112,185974.138274544,243259.33806138398,219396.71159671998,213039.589025184,225578.343079112,204059.280438984,226492.72525423998,92517.72615671999,212068.649074512,191704.13938084,188269.657471432,172223.64106744798,194741.961065912,171024.316928872,238363.641058264,247999.15437684802,182951.46623640798,194275.0878902,221323.52694736002,225340.722677104,234456.00848956802,212263.282787632,193745.29335207999,185149.785395232,244335.78273742402
117568.53465224999,100996.15941200001,85948.78065275,97447.827056875,93726.503922875,85492.94009187499,103410.72174175,98433.17349087501,80555.57502475,112976.491213625,93306.110210375,88477.5138,93813.082404,95889.160644875,97213.221335,99221.73194875,97444.546846,85570.42936874999,80110.909149375,95215.72905025001,89160.699114,92959.62071237499,76074.10161825,90590.381677125,84805.875346,109006.843385125,119310.236438,80321.64975937501,92422.90431512501,109750.61444075,111083.86587950001,101698.14768699999,99298.5951445,87306.73685525,90951.292005,112016.05241374999
80274.073412142,76710.402391026,65874.036928674,72808.577012664,71579.380693542,48060.254539272,79472.032652298,79956.238957257,72928.028624841,78508.983359115,73244.90390129099,71395.096041864,80389.766991252,74254.695287451,73641.997175421,79176.093692622,74868.32371184099,73417.423895442,67044.572764824,76628.076015228,73509.474179739,70173.361190757,53396.711144061,61242.803938281,61798.271840118,82563.78821329199,71731.394887809,69949.308489822,71756.253691803,75898.403495103,80738.58546629701,75710.54225425799,88232.430000915,67812.961784331,77022.355589316,80694.61814539801
2149.4953995735,2076.080908869,1804.239195594,2067.444108279,2078.4377409344997,2137.671389733,2071.455358203,2458.9850219715,2104.5686738505,2299.3398320145,2133.609018123,2176.8949889445003,2645.2423181414997,2176.7187713535,1958.947976931,2358.3801261569997,2133.5395499715,2526.0100163595002,2287.6839381825,2136.7694991555,2097.138598137,2290.238243403,1872.8547384194999,1937.674575441,1617.153969057,2535.3717474855002,2762.922053199,2195.770223955,2179.856138361,2010.0251859435002,2460.3196024275,2145.1137649095,1539.5101160835,2017.208833464,2238.20509902,2218.006784532
