Month,Infectivity Rate, Relative Transmission
1.004277854,0.087730061,1.01535541
2.001329987,0.116564417,1.349073621
3.000304225,0.106349409,1.230848883
3.991261487,0.112029936,1.296593211
5.003379932,0.082384685,0.953489997
6.008557284,0.082384685,0.953489997
7.005779833,0.066940752,0.774747603
8.005677448,0.075639059,0.875418606
9.001463909,0.078301806,0.90623626
10.00351566,0.059840093,0.692567193
11.01276193,0.066408203,0.768584073
12.01050541,0.10226653,1.183595146
