,Num,District,State,Population,Growth Rate,Sex-Ratio,Literacy,Population2021_estimated
378,379,katni,madhya pradesh,1292042,1.2141,952,71.98,8991273.791
379,380,anugul,orissa,1273821,1.1174,943,77.53,3865405.627
380,381,thiruvarur,tamil nadu,1264277,1.0811,1017,82.86,2757407.235
381,382,damoh,madhya pradesh,1264219,1.1663,910,69.73,5887420.684
382,383,chikkaballapura,karnataka,1255104,1.0923,972,69.76,3034583.207
383,384,kamrup metropolitan,assam,1253938,1.1834,936,88.71,6754476.781
384,385,theni,tamil nadu,1245899,1.1389,991,77.26,4574448.755
385,386,guna,madhya pradesh,1241519,1.2697,912,63.23,13519622.53
386,387,hoshangabad,madhya pradesh,1241350,1.1449,914,75.29,4803632.808
387,388,srinagar,jammu & kashmir,1236829,1.2035,900,69.41,7884435.519
388,389,karimganj,assam,1228686,1.219,963,78.22,8901802.734
389,390,baran,rajasthan,1222755,1.1968,929,66.66,7371489.522
390,391,lalitpur,uttar pradesh,1221592,1.2494,906,63.52,11322470.45
391,392,nabarangapur,orissa,1220946,1.1903,1019,46.43,6970449.616
392,393,yamunanagar,haryana,1214205,1.1657,877,77.99,5625485.138
393,394,korba,chhattisgarh,1206640,1.1925,969,72.37,7017163.491
394,395,dhaulpur,rajasthan,1206516,1.2271,846,69.08,9339693.982
395,396,panipat,haryana,1205437,1.246,864,75.94,10872387.96
396,397,bhandara,maharashtra,1200334,1.0565,982,83.76,2079682.904
397,398,pathanamthitta,kerala,1197412,0.9703,1132,96.55,885735.2319
398,399,washim,maharashtra,1197160,1.1734,930,83.25,5923972.535
399,400,dhenkanal,odisha,1192811,1.118,947,78.76,3639063.811
400,401,singrauli,madhya pradesh,1178273,1.2805,920,60.41,13965026.17
401,402,udupi,karnataka,1177361,1.0585,1094,86.24,2078826.619
402,403,hingoli,maharashtra,1177345,1.1927,942,78.17,6858291.44
403,404,yadgir,karnataka,1174271,1.2281,989,51.83,9164434.029
404,405,rajsamand,rajasthan,1156597,1.1718,990,63.14,5645689.616
405,406,sivasagar,assam,1151050,1.0944,954,80.41,2836971.892
406,407,sahibganj,jharkhand,1150567,1.2401,952,52.04,9896439.833
407,408,chikmagalur,karnataka,1137961,0.9974,1008,79.25,1108717.793
408,409,jagatsinghapur,odisha,1136971,1.075,968,86.59,2343333.116
409,410,ambala,haryana,1128350,1.1123,885,81.75,3270869.412
410,411,sidhi,madhya pradesh,1127033,1.2372,957,64.43,9469689.645
411,412,jehanabad,bihar,1125313,1.2168,922,66.8,8006917.366
412,413,tarn taran,punjab,1119627,1.1923,900,67.81,6500231.18
413,414,shrawasti,uttar pradesh,1117361,0.9498,881,46.74,667598.2065
414,415,bundi,rajasthan,1110906,1.154,925,61.52,4653025.157
415,416,idukki,kerala,1108974,0.9821,1006,91.99,925717.5017
416,417,hamirpur,uttar pradesh,1104285,1.058,861,68.77,1940608.146
417,418,jorhat,assam,1092256,1.0931,962,82.15,2660255.698
418,419,narsimhapur,madhya pradesh,1091854,1.1401,920,75.69,4051296.476
419,420,mewat,haryana,1089263,1.3793,907,54.08,27146891.92
420,421,ramanagara,karnataka,1082636,1.0505,976,69.22,1771915.6
421,422,anantnag,jammu & kashmir,1078692,1.3858,927,62.69,28177536.94
422,423,kaithal,haryana,1074304,1.1355,881,69.15,3828234.901
423,424,gadchiroli,maharashtra,1072942,1.1058,982,74.36,2933202.875
424,425,golaghat,assam,1066888,1.1275,964,77.43,3542291.817
425,426,shahdol,madhya pradesh,1066063,1.1739,974,66.67,5297779.722
