,Num,District,State,Population,Growth Rate,Sex-Ratio,Literacy,Population2021_estimated
114,115,mumbai city,maharashtra,3085411,0.9243,832,89.21,1404243.926
115,116,tirunelveli,tamil nadu,3077233,1.1297,1023,82.5,10418175.49
116,117,katihar,bihar,3071029,1.2835,919,52.24,37259982.59
117,118,udaipur,rajasthan,3068420,1.2369,958,61.82,25719392.13
118,119,madurai,tamil nadu,3038252,1.1784,990,83.45,15687405.79
119,120,bhagalpur,bihar,3037766,1.2536,880,63.14,29116834.07
120,121,medak,telangana,3033288,1.136,992,61.42,10856678.09
121,122,uttar dinajpur,west bengal,3007134,1.2315,939,59.07,24126645.48
122,123,shahjahanpur,uttar pradesh,3006538,1.18,872,59.54,15735725.48
123,124,satara,maharashtra,3003741,1.0693,988,82.87,5870270.999
124,125,mysore,karnataka,3001127,1.1363,985,72.79,10769968.69
125,126,begusarai,bihar,2970541,1.2644,895,63.87,31022759.26
126,127,sri potti sriramulu nellore,andhra pradesh,2963557,1.1105,985,68.9,8452767.306
127,128,rohtas,bihar,2959918,1.2078,918,73.37,19553744.33
128,129,puruliya,west bengal,2930115,1.1552,957,64.48,12400993.16
129,130,ranchi,jharkhand,2914253,1.2398,949,76.06,25005962.32
130,131,amravati,maharashtra,2888445,1.1079,951,87.38,8047661.968
131,132,ysr,andhra pradesh,2882469,1.1079,985,67.3,8031011.892
132,133,bhavnagar,gujarat,2880365,1.1663,933,75.52,13413752.27
133,134,nalanda,bihar,2877653,1.2139,922,64.43,19992519.94
134,135,nagaon,assam,2823768,1.22,962,72.37,20626584.44
135,136,sangli,maharashtra,2822143,1.0924,966,81.48,6829610.414
136,137,koch bihar,west bengal,2819086,1.1371,942,74.78,10188140.37
137,138,araria,bihar,2811569,1.3025,921,53.53,39511731.86
138,139,palakkad,kerala,2809934,1.0735,1067,89.31,5711058.476
139,140,khammam,telangana,2797370,1.0847,1011,64.81,6307341.048
140,141,yavatmal,maharashtra,2772348,1.1278,952,82.82,9229297.531
141,142,junagadh,gujarat,2743082,1.1205,953,75.8,8557706.726
142,143,adilabad,telangana,2741239,1.1018,1001,61.01,7227275.038
143,144,south delhi,delhi,2731929,1.2051,862,86.57,17648194.15
144,145,bhojpur,bihar,2728407,1.2163,907,70.47,19333755.52
145,146,tiruchirappalli,tamil nadu,2722290,1.1257,1013,83.23,8895309.2
146,147,srikakulam,andhra pradesh,2703114,1.0652,1015,61.74,5083653.476
147,148,maharajganj,uttar pradesh,2684703,1.235,943,62.76,22159799.37
148,149,dhanbad,jharkhand,2684487,1.1199,909,74.52,8330167.836
149,150,tumkur,karnataka,2678980,1.0365,984,75.14,3834092.053
150,151,sikar,rajasthan,2677333,1.1703,947,71.91,12902517.04
151,152,bilaspur,chhattisgarh,2663629,1.3329,971,70.78,47146495.28
152,153,kollam,kerala,2635375,1.0194,1113,94.09,3193660.26
153,154,raigarh,maharashtra,2634200,1.1931,959,83.14,15396329.7
154,155,fatehpur,uttar pradesh,2632733,1.1405,901,67.43,9803016.04
155,156,cuttack,odisha,2624470,1.121,940,85.5,8224277.179
156,157,cuddalore,tamil nadu,2605914,1.1402,987,78.04,9677661.907
157,158,barmer,rajasthan,2603751,1.3252,902,56.53,43492434.88
158,159,buldana,maharashtra,2586258,1.1585,934,83.4,11262433.21
159,160,bid,maharashtra,2585049,1.1961,916,76.99,15493291.19
160,161,ajmer,rajasthan,2583052,1.184,951,69.33,13984604.0
161,162,gulbarga,karnataka,2566326,1.1801,971,64.85,13443115.42
162,163,gopalganj,bihar,2562012,1.1902,1021,65.47,14614387.51
163,164,siddharth nagar,uttar pradesh,2559297,1.2545,976,59.25,24707416.94
164,165,nizamabad,telangana,2551335,1.0877,1040,61.25,5913692.961
165,166,bharatpur,rajasthan,2548462,1.2129,880,70.11,17560146.01
166,167,mathura,uttar pradesh,2547184,1.2278,863,70.36,19830634.43
167,168,west delhi,delhi,2543243,1.1946,875,86.98,15052649.94
168,169,aurangabad,bihar,2540073,1.2618,926,70.32,25986717.71
169,170,kannur,kerala,2523003,1.0473,1136,95.1,4005242.375
170,171,mayurbhanj,odisha,2519738,1.1333,1006,63.17,8806518.936
171,172,firozabad,uttar pradesh,2498156,1.2169,875,71.92,17789693.51
172,173,mirzapur,uttar pradesh,2496970,1.18,903,68.48,13068730.36
173,174,amritsar,punjab,2490656,1.1547,889,76.27,10495554.95
174,175,tiruppur,tamil nadu,2479052,1.2911,989,78.68,31906887.99
175,176,faizabad,uttar pradesh,2470996,1.1829,962,68.73,13254164.62
176,177,tiruvannamalai,tamil nadu,2464875,1.1275,994,74.21,8183901.724
177,178,basti,uttar pradesh,2464464,1.1821,963,67.22,13129997.76
178,179,jabalpur,madhya pradesh,2463289,1.1451,929,81.07,9548815.766
179,180,latur,maharashtra,2454196,1.1797,928,77.26,12812239.2
180,181,bellary,karnataka,2452595,1.2099,983,67.43,16486201.58
181,182,giridih,jharkhand,2445474,1.2841,944,63.14,29809281.59
182,183,sabarkantha,gujarat,2428589,1.1662,952,75.79,11300154.84
183,184,bhilwara,rajasthan,2408523,1.196,973,61.37,14423232.17
184,185,thanjavur,tamil nadu,2405890,1.0856,1035,82.64,5469833.586
185,186,ambedkar nagar,uttar pradesh,2397888,1.183,978,72.23,12872898.37
186,187,panchmahal,gujarat,2390776,1.1805,949,70.99,12566050.53
187,188,sagar,madhya pradesh,2378458,1.1763,893,76.46,12063586.9
188,189,bhopal,madhya pradesh,2371061,1.2862,918,80.37,29378375.65
189,190,rewa,madhya pradesh,2365106,1.1986,931,71.62,14474159.15
190,191,bikaner,rajasthan,2363937,1.4119,905,65.13,74417535.02
191,192,surguja,chhattisgarh,2359886,1.1966,978,60.01,14203030.15
192,193,vizianagaram,andhra pradesh,2344474,1.0423,1019,58.89,3547911.666
193,194,rampur,uttar pradesh,2335819,1.2142,909,53.34,16268273.76
194,195,baleshwar,orissa,2320529,1.1462,957,79.79,9082199.585
195,196,kheda,gujarat,2299885,1.1362,940,82.65,8246202.02
196,197,gurdaspur,punjab,2298323,1.0926,895,79.95,5572152.9
197,198,purbi singhbhum,jharkhand,2293919,1.1568,949,75.49,9843756.859
198,199,south west delhi,jharkhand,2292958,1.3065,840,88.28,33226931.83
199,200,erode,tamil nadu,2251744,1.1166,993,72.58,6784146.994
200,201,khordha,odisha,2251673,1.1994,929,86.88,13872213.53
201,202,north east delhi,delhi,2241624,1.2678,886,83.09,24047517.09
202,203,supaul,bihar,2229076,1.2866,929,57.67,27705139.84
203,204,satna,madhya pradesh,2228935,1.1919,926,72.26,12897204.96
204,205,nawada,bihar,2219146,1.2263,939,59.76,17066841.63
205,206,mau,uttar pradesh,2205968,1.1898,979,73.09,12541193.08
206,207,chandrapur,maharashtra,2204307,1.0643,961,80.01,4110670.831
207,208,jalandhar,punjab,2193590,1.1176,915,82.48,6668365.389
208,209,dhar,madhya pradesh,2185793,1.256,964,59.0,21355287.61
209,210,bijapur,karnataka,2177331,1.205,960,67.15,14053837.42
210,211,jamnagar,gujarat,2160119,1.1344,939,73.65,7623244.609
211,212,dindigul,tamil nadu,2159775,1.1231,998,76.26,6895929.014
212,213,balrampur,uttar pradesh,2148665,1.2772,928,49.51,24817487.3
213,214,jhunjhunun,rajasthan,2137045,1.1167,950,74.13,6444345.685
214,215,alappuzha,kerala,2127789,1.0088,1100,95.72,2322626.063
215,216,dohad,gujarat,2127086,1.2998,990,58.82,29278604.65
216,217,sundargarh,odisha,2093437,1.1435,973,73.34,8002424.495
217,218,anand,gujarat,2092745,1.127,925,84.37,6917600.438
218,219,kachchh,gujarat,2092371,1.3216,908,70.59,34012534.23
